def_A1	`A1:` defined, never read
cont_dollar_A1	`$$A1:` temp label, read
cont_A1_dotw	`A1:` label, `#A1.w`
i09	booked i09 shape: `#$$x-A1`
i09_nodollar	i09 without `$$`: `#B-A1`
z80_def_hl	z80 `hl:` defined, never read
z80_dw_hl	z80 `hl:` label, `dw hl`
z80_dwplus_hl	z80 `hl:` label, `dw hl+2`
z80_ldimm_hl	z80 `hl:` label, `ld de,hl+2`
z80_def_a	z80 `a:` defined, never read
z80_dw_a	z80 `a:` label, `dw a`
z80_dwplus_a	z80 `a:` label, `dw a+2`
z80_ldimm_a	z80 `a:` label, `ld de,a+2`
z80_def_ix	z80 `ix:` defined, never read
z80_dw_ix	z80 `ix:` label, `dw ix`
z80_dwplus_ix	z80 `ix:` label, `dw ix+2`
z80_ldimm_ix	z80 `ix:` label, `ld de,ix+2`
z80_def_sp	z80 `sp:` defined, never read
z80_dw_sp	z80 `sp:` label, `dw sp`
z80_dwplus_sp	z80 `sp:` label, `dw sp+2`
z80_ldimm_sp	z80 `sp:` label, `ld de,sp+2`
z80_def_bc	z80 `bc:` defined, never read
z80_dw_bc	z80 `bc:` label, `dw bc`
z80_dwplus_bc	z80 `bc:` label, `dw bc+2`
z80_ldimm_bc	z80 `bc:` label, `ld de,bc+2`
z80_def_af	z80 `af:` defined, never read
z80_dw_af	z80 `af:` label, `dw af`
z80_dwplus_af	z80 `af:` label, `dw af+2`
z80_ldimm_af	z80 `af:` label, `ld de,af+2`
z80_ctl_dw_hl	z80 control: no `hl` defined, `dw hl+2`
z80_ld_hl_bare	z80 `hl:` label, `ld hl,hl`
dc_multi	`A1:` label, `dc.w Lab,A1,Lab`
dc_b	`A1:` label, `dc.b A1`
ctl_nodef_dcw_multi	control: no label, `dc.w Lab,d3,Lab`
ctl_nodef_imm	control: no label, `#A1`
macro_body_label	`A1:` defined inside a macro body, `#A1+2` in the same body
ds_count	`A1:` label, `ds.b A1-$11F0`
