pwd=/home/volence/sonic_hacks/.scratch/as-cli-define/probes asl_md5=61e672562465725a8c102288a7da9098 sigil=/home/volence/sonic_hacks/.scratch/as-cli-define/target-base/release/sigil
sigil 0.1.0 (1e146771)
  revision:  1e14677148765dd7f9fbd6fac4c18a86213547ec
  branch:    parcel/as-cli-define
  committed: 2026-09-25T06:03:27-04:00
DIFFER | value given | args: -D FOO=5 | asl: bytes 05 | sigil: refused rc=2 (error: unexpected argument '-D')
DIFFER | valued then bare | args: -D FOO=5 -D FOO | asl: bytes 05 | sigil: refused rc=2 (error: unexpected argument '-D')
DIFFER | list, bare then valued | args: -D FOO,BAR=2 | asl: bytes 0102 | sigil: refused rc=2 (error: unexpected argument '-D')
DIFFER | list of three | args: -D FOO=1,BAR=2,BAZ=3 | asl: bytes 0102 | sigil: refused rc=2 (error: unexpected argument '-D')
DIFFER | trailing comma | args: -D FOO=5, | asl: bytes 05 | sigil: refused rc=2 (error: unexpected argument '-D')
DIFFER | empty value | args: -D FOO= | asl: bytes 01 | sigil: refused rc=2 (error: unexpected argument '-D')
DIFFER | space before value | args: -D FOO= 5 | asl: bytes 05 | sigil: refused rc=2 (error: unexpected argument '-D')
DIFFER | trailing space in value | args: -D FOO=5  | asl: bytes 05 | sigil: refused rc=2 (error: unexpected argument '-D')
DIFFER | value decimal | args: -D FOO=10 | asl: bytes 0a | sigil: refused rc=2 (error: unexpected argument '-D')
DIFFER | value lowercase hex | args: -D FOO=$ff | asl: bytes ff | sigil: refused rc=2 (error: unexpected argument '-D')
DIFFER | value 0x hex | args: -D FOO=0x10 | asl: bytes 10 | sigil: refused rc=2 (error: unexpected argument '-D')
DIFFER | value 10h | args: -D FOO=10h | asl: bytes 10 | sigil: refused rc=2 (error: unexpected argument '-D')
DIFFER | value 0FFh | args: -D FOO=0FFh | asl: bytes ff | sigil: refused rc=2 (error: unexpected argument '-D')
DIFFER | value %binary | args: -D FOO=%101 | asl: bytes 05 | sigil: refused rc=2 (error: unexpected argument '-D')
DIFFER | value negative | args: -D FOO=-1 | asl: bytes ff | sigil: refused rc=2 (error: unexpected argument '-D')
DIFFER | value ~1 | args: -D FOO=~1 | asl: bytes fe | sigil: refused rc=2 (error: unexpected argument '-D')
DIFFER | value 1+2 | args: -D FOO=1+2 | asl: bytes 03 | sigil: refused rc=2 (error: unexpected argument '-D')
DIFFER | value 1 + 2 | args: -D FOO=1 + 2 | asl: bytes 03 | sigil: refused rc=2 (error: unexpected argument '-D')
DIFFER | value 1<<4 | args: -D FOO=1<<4 | asl: bytes 10 | sigil: refused rc=2 (error: unexpected argument '-D')
DIFFER | value (3) | args: -D FOO=(3) | asl: bytes 03 | sigil: refused rc=2 (error: unexpected argument '-D')
DIFFER | value 1=1 | args: -D FOO=1=1 | asl: bytes 01 | sigil: refused rc=2 (error: unexpected argument '-D')
DIFFER | value $FFFFFFFF, dc.l | args: -D FOO=$FFFFFFFF | asl: bytes ffffffff | sigil: refused rc=2 (error: unexpected argument '-D')
MATCH | value $100000000, dc.l | args: -D FOO=$100000000 | asl: refused rc=2 | sigil: refused rc=2 (error: unexpected argument '-D')
DIFFER | value $123456789, >>32 | args: -D FOO=$123456789 | asl: bytes 00000001 | sigil: refused rc=2 (error: unexpected argument '-D')
MATCH | list with a space | args: -D FOO=1, BAR=2 | asl: refused rc=4 | sigil: refused rc=2 (error: unexpected argument '-D')
MATCH | empty middle part | args: -D FOO=1,,BAR=2 | asl: refused rc=4 | sigil: refused rc=2 (error: unexpected argument '-D')
MATCH | leading comma | args: -D ,FOO=5 | asl: refused rc=4 | sigil: refused rc=2 (error: unexpected argument '-D')
MATCH | space before = | args: -D FOO =5 | asl: refused rc=4 | sigil: refused rc=2 (error: unexpected argument '-D')
MATCH | empty argument | args: -D  | asl: refused rc=4 | sigil: refused rc=2 (error: unexpected argument '-D')
MATCH | double equals | args: -D FOO==5 | asl: refused rc=4 | sigil: refused rc=2 (error: unexpected argument '-D')
MATCH | bare dollar | args: -D FOO=$ | asl: refused rc=4 | sigil: refused rc=2 (error: unexpected argument '-D')
MATCH | value 5x | args: -D FOO=5x | asl: refused rc=4 | sigil: refused rc=2 (error: unexpected argument '-D')
MATCH | value 1+ | args: -D FOO=1+ | asl: refused rc=4 | sigil: refused rc=2 (error: unexpected argument '-D')
MATCH | value ff | args: -D FOO=ff | asl: refused rc=4 | sigil: refused rc=2 (error: unexpected argument '-D')
MATCH | value names a symbol | args: -D FOO=BAR | asl: refused rc=4 | sigil: refused rc=2 (error: unexpected argument '-D')
MATCH | value float, dc.b | args: -D FOO=1.5 | asl: refused rc=2 | sigil: refused rc=2 (error: unexpected argument '-D')
MATCH | name starts with a digit | args: -D 1FOO=1 | asl: refused rc=4 | sigil: refused rc=2 (error: unexpected argument '-D')
MATCH | empty name | args: -D =1 | asl: refused rc=4 | sigil: refused rc=2 (error: unexpected argument '-D')
MATCH | name with a dash | args: -D FO-O=1 | asl: refused rc=4 | sigil: refused rc=2 (error: unexpected argument '-D')
MATCH | name FOO? | args: -D FOO?=1 | asl: refused rc=4 | sigil: refused rc=2 (error: unexpected argument '-D')
MATCH | name @FOO | args: -D @FOO=1 | asl: refused rc=4 | sigil: refused rc=2 (error: unexpected argument '-D')
DIFFER | name with a dot, used | args: -D FOO.BAR=1 | asl: bytes 01 | sigil: refused rc=2 (error: unexpected argument '-D')
DIFFER | underscore name, used | args: -D _FOO=1 | asl: bytes 01 | sigil: refused rc=2 (error: unexpected argument '-D')
MATCH | leading-dot name, .FOO used | args: -D .FOO=1 | asl: refused rc=2 | sigil: refused rc=2 (error: unexpected argument '-D')
MATCH | lowercase -D, FOO used | args: -D foo=5 | asl: refused rc=2 | sigil: refused rc=2 (error: unexpected argument '-D')
DIFFER | -D FOO, foo equ 3 coexist | args: -D FOO=5 | asl: bytes 0305 | sigil: refused rc=2 (error: unexpected argument '-D')
DIFFER | set first, then use | args: -D FOO=5 | asl: bytes 03 | sigil: refused rc=2 (error: unexpected argument '-D')
DIFFER | ifndef-guarded set | args: -D FOO=5 | asl: bytes 05 | sigil: refused rc=2 (error: unexpected argument '-D')
MATCH | ifndef-guarded set, no -D | args:  | asl: bytes 03 | sigil: bytes 03
DIFFER | ifdef on -D name | args: -D FOO=5 | asl: bytes 01 | sigil: refused rc=2 (error: unexpected argument '-D')
DIFFER | ifdef, -D FOO=0 | args: -D FOO=0 | asl: bytes 01 | sigil: refused rc=2 (error: unexpected argument '-D')
DIFFER | ifndef on -D name | args: -D FOO=5 | asl: bytes 02 | sigil: refused rc=2 (error: unexpected argument '-D')
DIFFER | defined() on -D name | args: -D FOO=0 | asl: bytes 01 | sigil: refused rc=2 (error: unexpected argument '-D')
MATCH | defined(), no -D | args:  | asl: bytes 00 | sigil: bytes 00
MATCH | label FOO: after -D | args: -D FOO=5 | asl: refused rc=2 | sigil: refused rc=2 (error: unexpected argument '-D')
DIFFER | FOO := 7 after -D | args: -D FOO=5 | asl: bytes 07 | sigil: refused rc=2 (error: unexpected argument '-D')
DIFFER | FOO eval 7 after -D | args: -D FOO=5 | asl: bytes 07 | sigil: refused rc=2 (error: unexpected argument '-D')
DIFFER | use, set, use, 2 passes | args: -D FOO=5 | asl: bytes 050760000002 | sigil: refused rc=2 (error: unexpected argument '-D')
DIFFER | -D MOMCPU (a builtin) | args: -D MOMCPU=5 | asl: bytes 06 | sigil: refused rc=2 (error: unexpected argument '-D')
DIFFER | KNOWN: string value | args: -D FOO="A" | asl: bytes 4133 | sigil: refused rc=2 (error: unexpected argument '-D')
DIFFER | KNOWN: char value | args: -D FOO='A' | asl: bytes 5c | sigil: refused rc=2 (error: unexpected argument '-D')
DIFFER | KNOWN: value 0b101 | args: -D FOO=0b101 | asl: bytes 05 | sigil: refused rc=2 (error: unexpected argument '-D')
DIFFER | KNOWN: value @17 | args: -D FOO=@17 | asl: bytes 0f | sigil: refused rc=2 (error: unexpected argument '-D')
DIFFER | KNOWN: value $FFFFFFFFFFFFFFFF | args: -D FOO=$FFFFFFFFFFFFFFFF | asl: bytes ffffffff | sigil: refused rc=2 (error: unexpected argument '-D')
DIFFER | KNOWN: leading-dot name, unused | args: -D .FOO=1 -D FOO=2 | asl: bytes 02 | sigil: refused rc=2 (error: unexpected argument '-D')
PARITY_END rows=79 match=26 differ=53
